phenotype	endpoint
Atopic dermatitis	L12_ATOPIC
Chronic diseases of tonsils and adenoids	J10_CHRONTONSADEN
Ever smoker	EVER_SMOKER
Current smoker	CURRENT_SMOKER
Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT
Disorders of lipoprotein metabolism and other lipidaemias	E4_LIPOPROT
Gonarthrosis, primary, with knee surgery	M13_ARTHROSIS_KNEE_PRIM_KNEESURG
Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID
Pain (limb, back, neck, head abdominally)	PAIN
Asthma (only as main-diagnosis) (more control exclusions)	J10_ASTHMA_MAIN_EXMORE
Depression or dysthymia	F5_DEPRESSION_DYSTHYMIA
Malignant neoplasm, excluding all cancers (controls excluding all cancers)	C3_CANCER_EXALLC
Venous thromboembolism	I9_VTE
Myocardial infarction, strict	I9_MI_STRICT
Cholecystectomy	K11_CHOLECYSTECTOMY
Other heart diseases	FG_OTHHEART
Coxarthrosis	M13_ARTHTROSIS_COX
Primary open-angle glaucoma, strict	H7_GLAUCOMA_POAG
Hard cardiovascular diseases	I9_CVD_HARD
Hallux valgus (acquired)	M13_HALLUXVALGUS
Depression medications	ANTIDEPRESSANTS
Primary gonarthrosis, bilateral	PRIM_KNEEARTHROSIS
Obesity	E4_OBESITY
Dermatitis and eczema	L12_DERMATITISECZEMA
Carpal tunnel syndrome	G6_CARPTU
Coxarthrosis, primary, with hip surgery	M13_ARTHTROSIS_COX_PRIM_HIPSURG
Nontoxic goitre/thyroid nodule	E4_NONTOXIC_THYROID
Malignant neoplasm of breast, ER-positive, excluding all cancers (controls excluding all cancers)	C3_BREAST_ERPLUS_EXALLC
Dorsopathies	M13_DORSOPATHY
Arthropathies	M13_ARTHROPATHIES
Pure hypercholesterolaemia	E4_HYPERCHOL
Coxarthrosis, primary	M13_ARTHTROSIS_COX_PRIM_ICD10
Hyperplasia of prostate	N14_PROSTHYPERPLA
First line medication for Crohn's disease	RX_CROHN_1STLINE
Reimbursement for rheumatic diseases	K11_REIMB_202
Nontoxic multinodular goitre	E4_GOITREMULTINOD
Other diseases of upper respiratory tract	J10_UPPERDIS
Other dorsopathies, not elsewhere classified	M13_DORSOPATHYOTH
Migraine, single triptan purchase ok & required. ICD-code if available is included	MIGRAINE_TRIPTAN
Coronary angioplasty	I9_ANGIO
Senile cataract	H7_CATARACTSENILE
Other intervertebral disc disorders	M13_INTERVERTEB
Hypothyroidism, drug reimbursement	HYPOTHY_REIMB
Metabolic disorders	E4_METABOLIA
Spondylopathies	M13_SPONDYLOPATHY
Noninfective enteritis and colitis	K11_ENERCOLNONINF
Spinal stenosis	M13_SPINSTENOSIS
Psoriasis	L12_PSORIASIS
Palmar fascial fibromatosis [Dupuytren]	M13_DUPUTRYEN
Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2
Nasal polyp	J10_NASALPOLYP
Other disorders of veins	I9_VEINSOTH
Hypertrophic cardiomyopathy	I9_HYPERTROCARDMYOP
Hereditary retinal dystrophy	H7_HEREDRETINADYST
Myotonic disorders	G6_MYOTDIS
Any mental disorder	KRA_PSY_ANYMENTAL
Muscular dystrophy	G6_MUSDYST
Other coagulation defects	D3_COAGOTHER
Second line medication for Crohn's disease	RX_CROHN_2NDLINE
Seropositive rheumatoid arthritis, wide	RHEUMA_SEROPOS_WIDE
Mucosal proctocolitis	MUCOPROCT
Papulosquamous disorders	L12_PAPULOSQUAMOUS
Glaucoma suspect	H7_GLAUCSUSP
Sleep apnoea, including avohilmo	G6_SLEEPAPNO_INCLAVO
Sleep apnoea	G6_SLEEPAPNO
Tonsillectomy and adenotomy	J10_TONSILLECTOMY
DVT of lower extremities	I9_PHLETHROMBDVTLOW
Use of hypnotics and sedatives	RX_N05C
Cardiomyopathy	I9_CARDMYO
Age-related macular degeneration (whether dry or wet)	H7_AMD
Thyrotoxicosis with diffuse goitre	E4_THYTOXGOITDIF
Other and unspecified coagulation defects	D3_COAGDEFNAS
Actinic keratosis	L12_ACTINKERA
Sensorineural hearing loss	H8_HL_SEN_NAS
Fracture of forearm	ST19_FRACT_FOREA
Rheumatoid arthritis	M13_RHEUMA
Fibroblastic disorders	M13_FIBROBLASTIC
Unspecific neurodegenerative disorder	G6_NEURODEGENERATIVE
Depression	F5_DEPRESSIO
Dementia, including avohilmo	F5_DEMENTIA_INCLAVO
Dementia	F5_DEMENTIA
Polyarthropathies	M13_POLYARTHROPATHIES
Diseases of the myoneural junction and muscle	G6_MYONEU
Thyrotoxicosis	THYROTOXICOSIS
Other joint disorders	M13_OTHERJOINT
Otosclerosis	H8_OTOSCLE
Hernia of abdominal wall	ABDOM_HERNIA
Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC
Obesity due to excess calories	E4_OBESITYCAL
Endometriosis of ovary	N14_ENDOMETRIOSIS_OVARY
Any dementia (more control exclusions)	KRA_PSY_DEMENTIA_EXMORE
Cardiomyopathy, Hypertrophic obstructive	I9_CARDMYOHYP
Cardiomyopathy (excluding other)	FG_CARDMYO
Mood [affective] disorders	F5_MOOD
Endometriosis	N14_ENDOMETRIOSIS
Psoriasis vulgaris	L12_PSORI_VULG
Umbilical hernia	K11_UMBHER
Other disorders of ear	H8_OTHEREAR
Unstable angina pectoris	I9_UAP
Calcific aortic valvular stenosis, operated	I9_CAVS_OPERATED
Asthma-related infections	ASTHMA_INFECTIONS
Allergic asthma (mode)	ALLERG_ASTHMA
Codeine or tramadol medication	RX_CODEINE_TRAMADOL
Excessive, frequent and irregular menstruation	N14_MESNRUIRREG
Ulcerative colitis, NAS	ULCERNAS
Paracetamol of NSAID medication	RX_PARACETAMOL_NSAID
Endometriosis ASRM stages 3,4	N14_ENDOMETRIOSIS_ASRM_STAGE3_4
Myeloproliferative diseases (CML excluded)	MYELOPROF_NONCML
Dorsalgia	M13_DORSALGIA
Wet age-related macular degeneration	WET_AMD
Pregnancy hypertension	O15_HYPTENSPREG
Sleep disorders (combined)	SLEEP
Soft tissue disorders	M13_SOFTTISSUE
Lumbar disc prolapse	M13_LUMBAR_PROLAPSE
COPD	J10_COPD
Episodal and paroxysmal disorders	G6_EPIPAROX
Alzheimer’s disease, wide definition	G6_AD_WIDE
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8 (more control exclusions)	O15_ICP_WIDE_EXMORE
Hypertrophy of breast	N14_HYPERTROPHYBREAST
Atherosclerosis, excluding cerebral and coronary sclerosis	I9_ATHSCLE
Aortic aneurysm	I9_AORTANEUR
Gestational diabetes (for exclusion)	GEST_DIABETES
Type 1 diabetes, definitions combined	T1D
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8	O15_ICP_WIDE
Anxiety disorders (more control exclusions)	KRA_PSY_ANXIETY_EXMORE
Pulmonary embolism	I9_PULMEMB
Systemic atrophies primarily affecting the central nervous system	G6_NEUATR
Alzheimer disease	G6_ALZHEIMER
Obesity, other/unspecified	E4_OBESITYNAS
Familial hypercholesterolemia	E4_FH
Dry age-related macular degeneration (includes geographic atrophy)	DRY_AMD
Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS
Menorrhagia	N14_MENORRHAGIA
Diseases of male genital organs	N14_MALEGEN
Calculus of kidney and ureter	N14_CALCUKIDUR
Other arrhythmias	I9_OTHARR
Degeneration of macula and posterior pole	H7_MACULADEGEN
Hereditary deficiency of other clotting factors	D3_HEREDOTHCLOFACTORS
Benign neoplasm of colon, rectum, anus and anal canal	CD2_BENIGN_COLORECANI
Asthma, unspecified (mode)	ASTHMA_NAS
Childhood asthma (age<16) (more control exclusions)	ASTHMA_CHILD_EXMORE
Intrahepatic Cholestasis of Pregnancy (ICP)  (more control exclusions)	O15_ICP_EXMORE
Female genital prolapse	N14_FEMGENPROL
Other cataract	H7_CATARACTOTHER
Procreative management	Z21_PROCREATIVE_MANAG
Congenital malformations of gallbladder, bile ducts and liver	Q17_CONGEN_MALFO_GALLB_BILE_DUCTS_LIVER
Hypertrophy of breast in women and men	N14_HYPERTROPHYBREAST_BOTH
Coeliac disease	K11_COELIAC
Phlebitis and thrombophlebitis (not including DVT)	I9_PHLETHROM
Coagulation defects, purpura and other haemorrhagic conditions	D3_COAGDEF_PURPUR_HAEMORRHAGIC
Spondylopathies (FG)	SPONDYLOPATHY_FG
Ankylosing spondylitis	M13_ANKYLOSPON
Substance abuse (more control exclusions)	KRA_PSY_SUBSTANCE_EXMORE
Allergic conjunctivitis	H7_ALLERGICCONJUNCTIVITIS
Sarcoidosis	D3_SARCOIDOSIS
Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM
Gout	M13_GOUT
Chronic Coagulation defects	D3_COAGDEF
Suggestive for eosinophilic asthma	ASTHMA_EOSINOPHIL_SUGG
Seropositive rheumatoid arthritis, strict definition	RHEUMA_SEROPOS_STRICT
Cystic kidney disease	Q17_CYSTIC_KIDNEY_DISEA
Shoulder lesions	M13_SHOULDER
Chronic sinusitis	J10_CHRONSINUSITIS
Thoracic aortic aneurysm	I9_THAORTANEUR
Hereditary corneal dystrophies	H7_KERATOCONUS
Graves disease, strict definition	E4_GRAVES_STRICT
Papillary adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers)	C3_THYROID_PAPILLARY_ADENO_EXALLC
Malignant neoplasm of thyroid gland, excluding all cancers (controls excluding all cancers)	C3_THYROID_GLAND_EXALLC
Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)	C3_MELANOMA_SKIN_EXALLC
Nerve, nerve root and plexus disorders	G6_NERPLEX
Other and unspecified primary disorders of muscles	G6_MUSCOTHUNS
Recurrent or chronic depression	F5_DEPRESSION_RECURRENT
Hyperlipidaemia, other/unspecified	E4_HYPERLIPNAS
Malignant melanoma, excluding all cancers (controls excluding all cancers)	C3_MELANOMA_EXALLC
Colorectal cancer, excluding all cancers (controls excluding all cancers)	C3_COLORECTAL_EXALLC
Allergic rhinitis	ALLERG_RHINITIS
Spondyloarthritis	SPONDYLOARTHRITIS
Other soft tissue disorders, not elsewhere classified	M13_SOFTTISSUEOTH
Heart failure and coronary heart disease	I9_HEARTFAIL_AND_CHD
Other and unspecified spinal muscular atrophies	G6_SPINAMUSCOTH
Benign neoplasm: Colon	CD2_BENIGN_COLON
Alzheimer’s disease (Late onset) (more control exclusions)	AD_LO_EXMORE
Type1 diabetes, definitions combined, early onset	T1D_EARLY
Primary coxarthrosis, bilateral	PRIM_COXARTHROSIS
Polycythaemia vera	POLYCYTVERA
Other diseases of intestines	K11_INTESTOTH
Acute appendicitis	K11_APPENDACUT
Anterior Iridocyclitis	H7_IRIDOCYC_ANTER
Acute and subacute iridocyclitis	H7_IRIDOACUTE
Other disorders of cornea	H7_CORNEALOTH
STROKE	C_STROKE
Colorectal adenocarcinoma, excluding all cancers (controls excluding all cancers)	C3_COLORECTAL_ADENO_EXALLC
Malignant neoplasm of breast, ER-negative, excluding all cancers (controls excluding all cancers)	C3_BREAST_ERNEG_EXALLC
Asthma and allergy	ASTHMA_ALLERG
Ovarian cyst	N14_OVARYCYST
Other arthrosis	M13_ARTHROSIS_OTH
Other retinal disorders	H7_RETINALDISOTH
Iridocyclitis	H7_IRIDOCYCLITIS
Gout, strict definition	GOUT_STRICT
Essential (haemorrhagic) thrombocythaemia	THROMBOCYTAEMIA
Spondylosis	M13_SPONDYLOSIS
Ankylosing spondylitis, strict definition	M13_ANKYLOSPON_STRICT
Cardiomyopathy, other and unspecified	I9_CARDMYOOTH
Disorders of sclera, cornea, iris and ciliary body	H7_SCLERACORNEA
Dementia in Alzheimer disease	F5_ALZHDEMENT
Endometriosis of pelvic peritoneum	N14_ENDOMETRIOSIS_PELVICPERITONEUM
Disorders of breast	N14_BREAST
Systemic connective tissue disorders	M13_SYSTCONNECT
Heart failure and hypertrophic cardiomyopathy	I9_HEARTFAIL_AND_HYPERTCARDIOM
Keratitis	H7_KERATITIS
Migraine	G6_MIGRAINE
Motor neuron disease	G6_ALS
Amyloidosis, other/unspecified	E4_AMYLNAS
Other and unspecified iron deficiency	D3_ANAEMIA_IRONDEF_NAS
Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC
Ulcerative rectosigmoiditis	ULCERRECT
Gestational [pregnancy-induced] hypertension	O15_GESTAT_HYPERT
Lower back pain or/and sciatica	M13_LOWBACKPAINORANDSCIATICA
Peritonsillar abscess	J10_PERITONSABSC
Glaucoma, exfoliation	H7_GLAUCOMA_XFG
Iron deficiency anaemia	D3_ANAEMIA_IRONDEF
Other Crohn's disease	CHRONOTH
Biological medication for rheuma	RX_RHEUMA_BIOLOGICAL
Sciatica+with lumbago	M13_SCIATICA
Other diseases of liver	K11_DISLIVOTH
Other embolism and thrombosis	I9_THROMBOTH
Paroxysmal tachycardia	I9_PAROXTAC
Hypertensive Heart Disease	I9_HYPTENSHD
Diseases of middle ear and mastoid	H8_MIDDLEMASTOID
Disorders of parathyroid gland	E4_PARATHYRO
Hyperparathyroidism	E4_HYPERPARA
Certain disorders involving the immune mechanism	D3_IMMUNEMECHANISM
Crohn's disease NAS	CHRONNAS
Asthma-related pneumonia	ASTHMA_PNEUMONIA
Other congenital malformations of the digestive system	Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1
Congenital malformations of the urinary system	Q17_CONGEN_MALFO_URINARY_SYSTEM
Heart failure, strict	I9_HEARTFAIL
Disorders of choroid and retina	H7_CHOROIDRETINA
Gout, unspecified	GOUT_NOS
Thyrotoxicosis with toxic multinodular goitre	E4_THYTOXGOITMULT
Lymphoid leukaemia (controls excluding all cancers)	CD2_LYMPHOID_LEUKAEMIA_EXALLC
Malignant neoplasm of urinary organs, excluding all cancers (controls excluding all cancers)	C3_URINARY_TRACT_EXALLC
Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)	C3_KIDNEY_NOTRENALPELVIS_EXALLC
Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)	C3_COLON_EXALLC
Psoriatic arthropathies	M13_PSORIARTH
Follicular cysts of skin and subcutaneous tissue	L12_FOLLICULARCYST
Dermatitis	L12_DERMATITISNAS
Lichen ruber planus, wide definition including periferal and oral lichen planus	K11_LICHEN_PLANUS_WIDE
Diaphragmatic hernia	K11_DIAHER
Normotensive glaucoma	H7_GLAUCOMA_NTG
MS-disease / Multiple Sclerosis	G6_MS
Falls/tendency to fall	FALLS
Familial hypercholesterolemia, with ischemic heart disease	E4_FH_IHD
Benign leiomyoma with endometriosis (controls excluding all cancers)	CD2_LEIOMYOMA_ENDOMETRIOSIS_EXALLC
Colon adenocarcinoma, excluding all cancers (controls excluding all cancers)	C3_COLON_ADENO_EXALLC
Alcohol use disorder, Swedish definition	AUD_SWEDISH
Cleft palate	Q17_CLEFT_PALATE
Other disorders of urethra and urinary system	N14_URETHRAOTH
Deep endometriosis	N14_ENDOMETRIOSIS_DEEP
Diseases of liver	K11_LIVER
Crohn disease (strict definition, require KELA, min 2 HDR)	K11_CD_STRICT2
Interstitial lung disease endpoints	ILD_ENDPOINTS
Valvular heart disease excluding rheumatic fever	I9_VHD
Polycystic ovarian syndrome, broad definition	E4_PCOS_BROAD
Other and/or unspecified nontoxic goitre	E4_GOITRENAS
Vitamin B12 deficiency anaemia	D3_ANAEMIA_B12_DEF
Childhood allergy (age < 16)	CHILDHOOD_ALLERGY
Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)	C3_SQUOMOUS_CELL_CARCINOMA_SKIN_EXALLC
Obesity related asthma	ASTHMA_OBESITY
SLE (Finngen)	SLE_FG
COPD/asthma/ILD related infections	PULM_INFECTIONS
Other degenerative diseases of the nervous system	NEURODEGOTH
Low back pain	M13_LOWBACKPAIN
Haemorrhoids and perianal venous thrombosis	K11_HAEMORR
Idiopathic pulmonary fibrosis	IPF
All anxiety disorders	F5_ALLANXIOUS
Benign neoplasm: Cerebral meninges	CD2_BENIGN_MENINGES_CEREBRAL
Benign neoplasm of meninges	CD2_BENIGN_MENINGES
Acute appendicitis, no complications	APPENDACUT_NOCOMPLIC
Other ulcerative colitis	ULCEROTH
Other (seronegative) rheumatoid arthritis, wide	RHEUMA_OTHER_WIDE
Cleft lip, lip and palate or palate	Q17_CLEFT_LIP_CLEFT_PALATE
Noninflammatory disorders of female genital tract	N14_FEMALEGENNONINF
Meniscus derangement	M13_MENISCUSDERANGEMENTS
Pain in limb	M13_LIMBPAIN
Adhesive capsulitis of shoulder	M13_ADHCAPSULITIS
Ventral hernia	K11_VENTHER
Nonsuppurative otitis media	H8_NONSUPPNAS
Disorders of vitreous body	H7_VITRBODYGLOBE
Use of antiglaucoma preparations and miotics	H7_GLAUCOMAMEDICATION
Corneal ulcer	H7_CORNULCER
Conjunctivitis	H7_CONJUNCTIVITIS
Blepharochalasis	H7_BLEPHAROCHALASIS
Disorders of iron metabolism	E4_IRON_MET
Anaemias	D3_ANAEMIA
Crohn's disease of small intestine	CHRONSMALL
Carcinoma in situ of breast, intraductal (controls excluding all cancers)	CD2_INSITU_BREAST_INTRADUCTAL_EXALLC
Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)	C3_BLADDER_EXALLC
Other diseases of urinary system	N14_URINOTH
Rotator cuff syndrome	M13_ROTATORCUFF
Osteoporosis	M13_OSTEOPOROSIS
Pain in joint	JOINTPAIN
Aneurysms, operations, SAH	I9_SAHANEUR
Hereditary motor and sensory neuropathy	G6_HEREMOSEN
Benign neoplasm of ovary	CD2_BENIGN_OVARY
Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)	C3_CLL_EXALLC
Erysipelas	AB1_ERYSIPELAS
Other congenital malformations of skin	Q17_OTHER_CONGEN_MALFO_SKIN
Other congenital malformations	Q17_OTHER_CONGEN_MALFO
Neurofibromatosis, type 2	Q17_NEUROFIBROMATOSIS_2
Congenital retinoschisis	Q17_CONGEN_MALFO_RETI
Congenital malformations of ovaries, fallopian tubes and broad ligaments	Q17_CONGEN_MALFO_OVARIES_FALLOP_TUBES_BROAD_LIGAM
Cleft hard palate NOS	Q17_CLEFT_HARD_PALATE_NOS
Cervical disc disorders	M13_CERVICDISC
Seborrhoeic keratosis	L12_SEBORRKERAT
Other and unspecified psoriasis	L12_PSORI_NAS
Disorders of skin appendages	L12_DISORDSKINAPPENDIX
Tooth agenesis EXCLUDE clefts and syndromes	K11_HYPO_ONLY
Acute pancreatitis	K11_ACUTPANC
Abdominal aortic aneurysm (AAA)	I9_ABAORTANEUR
Other and unspecified myopathies	G6_MYOPOTHUNS
Disorder of lipoprotein metabolism, unspecified	E4_LIPOPROTNAS
Crohn's disease of large intestine	CHRONLARGE
Melanocytic naevi	CD2_BENIGN_MELANOCYTIC
Alcohol-induced chronic pancreatitis	ALCOPANCCHRON
Ulcerative proctitis	ULCERPROCT
Seronegative rheumatoid arthritis	RHEUMA_SERONEG
Pollen allergy	POLLENALLERG
Other systemic involvement of connective tissue (FG)	OTHER_SYSTCON_FG
Endometriosis diagnosis and infertility diagnosis occurring together	N14_ENDOMET_INFERT
Trigger finger	M13_TRIGGERFINGER
Sacroiliitis, not elsewhere classified	M13_SACROILIITIS
Hypertrophic scar	L12_HYPETROPHICSCAR
Diseases of the digestive system	K11_OTHDIG
Acute upper respiratory infections	J10_UPPERINFEC
Heart failure and bmi 25plus	I9_HEARTFAIL_AND_OVERWEIGHT
Retinal detachments and breaks	H7_RETINALDETACH
Other disorders of eyelid	H7_EYELIDDIS
Normal-pressure hydrocephalus	G6_HCNP
Unspecified dementia	F5_DEMNAS
Postprocedural endocrine and metabolic disorders, not elsewhere classified	E4_ENDOMETPOSTOP
Diabetic retinopathy (more control exclusions)	DM_RETINOPATHY_EXMORE
Diabetic retinopathy	DM_RETINOPATHY
Other and unspecified anaemias	D3_ANAEMIANAS
Early onset COPD	COPD_EARLY
Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)	C3_NONHODGKIN_EXALLC
Other/unspecified rheumatoid arthritis	RHEUMA_NOS
Phakomatoses, not elsewhere classified	Q17_PHAKOMATOSES_NOT_ELSEW_CLASSIFIED
Caries in Clefts patients	Q17_CLEFT_AND_CARIES
Pre-eclampsia or eclampsia	O15_PRE_OR_ECLAMPSIA
Pre-eclampsia	O15_PREECLAMPS
Nephrotic syndrome	N14_NEPHROTICSYND
Cystitis	N14_CYSTITIS
Macular pucker	MACULAR_PUCKER
Early lumbar disc prolapse, operated	M13_EARLY_LUMBAR_PROLAPSE
Pilonidal cyst	L12_PILONIDALCYST
Chronic pancreatitis	K11_CHRONPANC
Juvenile arthritis (FINNGEN)	JUVEN_ARTHR
Deviated nasal septum	J10_SEPTDEV
Stroke, excluding SAH	I9_STR
Conduction disorders	I9_CONDUCTIO
AV-block	I9_AVBLOCK
Restless leg syndrome	G6_RLS
Polycystic ovarian syndrome	E4_PCOS
Ovarian dysfunction	E4_OVARDYS
Disorders of mineral metabolism	E4_MINERAL_MET
Von Willebrand disease	D3_VONVILLEBRAND
Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)	C3_RECTUM_EXALLC
Malignant neoplasm of bronchus and lung, excluding all cancers (controls excluding all cancers)	C3_BRONCHUS_LUNG_EXALLC
Alcohol use disorder, ICD-based	AUD
Transient global amnesia	AMN2
Kidney transplant status	Z21_KIDNEY_TRANSPLANT_STATUS
Vertebral, anorectal, cardiavascular, thracheoesophagial, renal and limb anomaly	Q17_VACTREL
Septal defects	Q17_SEPTA_DEFEC
Congenital malformations of posterior segment of eye	Q17_CONGEN_MALFO_POSTERI_SEGMENT_EYE
Other maternal disorders predominantly related to pregnancy	O15_PREG_OTHER_MAT_DISORD
Female infertility	N14_FEMALEINFERT
Adenomyosis (Endometriosis of uterus)	N14_ENDOMETRIOSIS_UTERUS
Unspecified/other endometriosis	N14_ENDOMETRIOSIS_NOS
Other specified/unspecified inflammatory spondylopathies	M13_SPONDYLINFLAMNAS
Sicca syndrome [Sjögren]	M13_SJOGREN
Reactive arthropathies	M13_REACTARTH
Other and unspecified urticaria	L12_URTICA_NAS
Molar incisor enamel hypoplasia, with caries	K11_MIH_CARIES
Colonic or urogenital fistula	K11_FISTULA
Appendectomy	K11_APPENDECTOMY
Entropion and trichiasis of eyelid	H7_ENTROPION
Idiopathic gout	GOUT_IDIO
Melanoma in situ (controls excluding all cancers)	CD2_INSITU_MELANOMA_EXALLC
Benign neoplasm: Rectum, anus and anal canal	CD2_BENIGN_RECTUM_ANAL
Benign neoplasm: Rectum	CD2_BENIGN_RECTUM
Melanocytic naevi of trunk	CD2_BENIGN_MELANOCYTIC_TRUNK
Benign lipomatous neoplasm	CD2_BENIGN_LIPOMATOUS
Adenocarcinoma, papilloma adenocarcinoma and mucinous carcinomas of rectum, excluding all cancers (controls excluding all cancers)	C3_RECTUM_ADENO_MUCINO_EXALLC
Brain meningioma, excluding all cancers (controls excluding all cancers)	C3_MENINGIOMA_EXALLC
Alzheimer’s disease (Early onset) (more control exclusions)	AD_EO_EXMORE
Fracture of femur	ST19_FRACT_FEMUR
Other arthritis (FG)	RHEU_ARTHRITIS_OTH
Osteochondrodysplasia with defects of growth of tubular bones and spine	Q17_OSTEOCHONDROD_W_DEFECTS_GROWTH_TUBULAR_BONES_SPINE
Psoriasis (vulgaris), strict definition	PSORI_STRICT
Postmenopausal osteoporosis with pathological fracture	OSTPOPATFRCTURE_POSTEMENO
Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	O15_EXIST_HYPERT_COMPLIC
Non-allergic asthma (mode) (more control exclusions)	NONALLERG_ASTHMA_EXMORE
Endometriosis of rectovaginal septum and vagina	N14_ENDOMETRIOSIS_RECTPVAGSEPT_VAGINA
Chronic kidney disease	N14_CHRONKIDNEYDIS
Mixed connective tissue disease	M13_MCTD
Other hammer toe(s) (acquired)	M13_HAMMERTOE
Infective dermatitis	L12_INFECT_DERM
Dermatitis herpetiformis	L12_DERMATHERP
Other bullous disorders	L12_BULLOTH
Allergic contact dermatitis	L12_ALLERGICCONTACT
Hypoplasia of dental enamel, including avohilmo	K11_HYPOPLASIA_ENAMEL
Alcoholic liver disease	K11_ALCOLIV
Acute sinusitis	J10_SINUSITIS
All pneumoniae	J10_PNEUMONIA
Myopia	H7_MYOPIA
Chalazion	H7_CHALAZION
Other extrapyramidal and movement disorders in other diseases	G6_XTRAPYROTH
Hydrocephalus	G6_HYDROCEPH
Diabetic retinopathy, strict definition	DM_RETINOPATHY_STRICT
Other diseases of blood and blood-forming organs	D3_OTHERBLOOD
Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	CIRRHOSIS_BROAD
Non-follicular lymphoma (controls excluding all cancers)	CD2_NONFOLLICULAR_LYMPHOMA_EXALLC
Alcohol-induced acute pancreatitis	ALCOPANCACU
Alzheimer’s disease (Atypical or mixed) (more control exclusions)	AD_AM_EXMORE
Hernia of abdominal wall, postoperative	ABDOM_HERNIA_POSTOP
Lung transplant status	Z21_LUNG_TRANSPLANT_STATUS
Ulcerative ileocolitis	ULCERILEO
Fracture of shoulder and upper arm	ST19_FRACT_SHOUL_UPPER_ARM
Atrial septal defect	Q17_ASD
Nonalcoholic fatty liver disease	NAFLD
